"","region","LandLeaf","year","yield","veg.carbon.density","HarvestIndex","Root_Shoot","WaterContent","Tree_Cdensity_kgm2"
"1","India","CornC4_IndusR_RFD_lo",2015,0.537955380666865,0.232,0.53,0.18,0.14,NA
"2","India","CornC4_IndusR_RFD_hi",2015,0.537955380666865,0.232,0.53,0.18,0.14,NA
"3","India","CornC4_SabarmatiR_RFD_lo",2015,0.220405677391482,0.095,0.53,0.18,0.14,NA
"4","India","CornC4_SabarmatiR_RFD_hi",2015,0.220405677391482,0.095,0.53,0.18,0.14,NA
"5","India","CornC4_GangesR_RFD_lo",2015,0.276247873156186,0.119,0.53,0.18,0.14,NA
"6","India","CornC4_GangesR_RFD_hi",2015,0.276247873156186,0.119,0.53,0.18,0.14,NA
"7","India","CornC4_MahiR_RFD_lo",2015,0.189627654722212,0.082,0.53,0.18,0.14,NA
"8","India","CornC4_MahiR_RFD_hi",2015,0.189627654722212,0.082,0.53,0.18,0.14,NA
"9","India","CornC4_BengalBay_RFD_lo",2015,1.37400977596842,0.592,0.53,0.18,0.14,NA
"10","India","CornC4_BengalBay_RFD_hi",2015,1.37400977596842,0.592,0.53,0.18,0.14,NA
"11","India","CornC4_TaptiR_RFD_lo",2015,0.254331546525312,0.11,0.53,0.18,0.14,NA
"12","India","CornC4_TaptiR_RFD_hi",2015,0.254331546525312,0.11,0.53,0.18,0.14,NA
"13","India","CornC4_BengalW_RFD_lo",2015,0.256696513991458,0.111,0.53,0.18,0.14,NA
"14","India","CornC4_BengalW_RFD_hi",2015,0.256696513991458,0.111,0.53,0.18,0.14,NA
"15","India","CornC4_BrahmaniR_RFD_lo",2015,0.322535233301509,0.139,0.53,0.18,0.14,NA
"16","India","CornC4_BrahmaniR_RFD_hi",2015,0.322535233301509,0.139,0.53,0.18,0.14,NA
"17","India","CornC4_MahanadiR_RFD_lo",2015,0.266598384234904,0.115,0.53,0.18,0.14,NA
"18","India","CornC4_MahanadiR_RFD_hi",2015,0.266598384234904,0.115,0.53,0.18,0.14,NA
"19","India","CornC4_GodavariR_RFD_lo",2015,0.368011976471932,0.159,0.53,0.18,0.14,NA
"20","India","CornC4_GodavariR_RFD_hi",2015,0.368011976471932,0.159,0.53,0.18,0.14,NA
"21","India","CornC4_IndCstNE_RFD_lo",2015,0.386280084386631,0.166,0.53,0.18,0.14,NA
"22","India","CornC4_IndCstNE_RFD_hi",2015,0.386280084386631,0.166,0.53,0.18,0.14,NA
"23","India","CornC4_IndCstW_RFD_lo",2015,0.387266554320313,0.167,0.53,0.18,0.14,NA
